id,title,scope,stage,state,contract,tests,operations
execute.icmp.ult,icmp ult: signedness and equality,llvm-execution,execution,specified,"Compare signed and unsigned interpretations, returning the full i1 result; no exit-code approximation.",execute.icmp.ult.0 execute.icmp.ult.1 execute.icmp.ult.2 execute.icmp.ult.3,llvm.icmp
execute.icmp.ule,icmp ule: signedness and equality,llvm-execution,execution,specified,"Compare signed and unsigned interpretations, returning the full i1 result; no exit-code approximation.",execute.icmp.ule.0 execute.icmp.ule.1 execute.icmp.ule.2 execute.icmp.ule.3,llvm.icmp
execute.icmp.ugt,icmp ugt: signedness and equality,llvm-execution,execution,specified,"Compare signed and unsigned interpretations, returning the full i1 result; no exit-code approximation.",execute.icmp.ugt.0 execute.icmp.ugt.1 execute.icmp.ugt.2 execute.icmp.ugt.3,llvm.icmp
execute.icmp.uge,icmp uge: signedness and equality,llvm-execution,execution,specified,"Compare signed and unsigned interpretations, returning the full i1 result; no exit-code approximation.",execute.icmp.uge.0 execute.icmp.uge.1 execute.icmp.uge.2 execute.icmp.uge.3,llvm.icmp
execute.intr.ctpop,intr.ctpop: integer intrinsics,llvm-execution,execution,specified,"Match independently calculated popcount, byte swap or bit reversal on defined i64 inputs.",execute.intr.ctpop.0 execute.intr.ctpop.1 execute.intr.ctpop.2 execute.intr.ctpop.3,llvm.intr.ctpop
execute.intr.bswap,intr.bswap: integer intrinsics,llvm-execution,execution,specified,"Match independently calculated popcount, byte swap or bit reversal on defined i64 inputs.",execute.intr.bswap.0 execute.intr.bswap.1 execute.intr.bswap.2 execute.intr.bswap.3,llvm.intr.bswap
execute.intr.bitreverse,intr.bitreverse: integer intrinsics,llvm-execution,execution,specified,"Match independently calculated popcount, byte swap or bit reversal on defined i64 inputs.",execute.intr.bitreverse.0 execute.intr.bitreverse.1 execute.intr.bitreverse.2 execute.intr.bitreverse.3,llvm.intr.bitreverse
program.select,Program: select,llvm-execution,execution,specified,"Execute this defined program against LLVM, including every returned bit and its control/data dependencies. Observations currently exclude external I/O and final memory.",program.select.original,llvm.select
transform.select,Optimization preserves select,transformations,transformation,specified,"canonicalize,cse,dce produces verified IR and preserves the original program's independently measured return value. This is bounded execution evidence, not a pass proof.",transform.select.optimized,llvm.select
program.memory,Program: memory,llvm-execution,execution,specified,"Execute this defined program against LLVM, including every returned bit and its control/data dependencies. Observations currently exclude external I/O and final memory.",program.memory.original,llvm.alloca llvm.store llvm.load
transform.memory,Optimization preserves memory,transformations,transformation,specified,"canonicalize,cse,dce produces verified IR and preserves the original program's independently measured return value. This is bounded execution evidence, not a pass proof.",transform.memory.optimized,llvm.alloca llvm.store llvm.load
program.branch,Program: branch,llvm-execution,execution,specified,"Execute this defined program against LLVM, including every returned bit and its control/data dependencies. Observations currently exclude external I/O and final memory.",program.branch.original,llvm.br llvm.cond_br
transform.branch,Optimization preserves branch,transformations,transformation,specified,"canonicalize,cse,dce produces verified IR and preserves the original program's independently measured return value. This is bounded execution evidence, not a pass proof.",transform.branch.optimized,llvm.br llvm.cond_br
program.fold-and-cse,Program: fold-and-cse,llvm-execution,execution,specified,"Execute this defined program against LLVM, including every returned bit and its control/data dependencies. Observations currently exclude external I/O and final memory.",program.fold-and-cse.original,llvm.add llvm.or
transform.fold-and-cse,Optimization preserves fold-and-cse,transformations,transformation,specified,"canonicalize,cse,dce produces verified IR and preserves the original program's independently measured return value. This is bounded execution evidence, not a pass proof.",transform.fold-and-cse.optimized,llvm.add llvm.or
model.poison.nsw,Model: nsw violation produces poison,veir-model,execution,specified,VeIR's documented flag encoding produces a typed poison result for this violating input; agreement with all LLVM poison contexts remains a separate obligation.,model.poison.nsw.violation,llvm.add
model.poison.nuw,Model: nuw violation produces poison,veir-model,execution,specified,VeIR's documented flag encoding produces a typed poison result for this violating input; agreement with all LLVM poison contexts remains a separate obligation.,model.poison.nuw.violation,llvm.add
model.poison.exact,Model: exact violation produces poison,veir-model,execution,specified,VeIR's documented flag encoding produces a typed poison result for this violating input; agreement with all LLVM poison contexts remains a separate obligation.,model.poison.exact.violation,llvm.udiv
model.poison.disjoint,Model: disjoint violation produces poison,veir-model,execution,specified,VeIR's documented flag encoding produces a typed poison result for this violating input; agreement with all LLVM poison contexts remains a separate obligation.,model.poison.disjoint.violation,llvm.or
model.ub.divide-zero,Model: division by zero is UB,veir-model,execution,specified,"Report undefined_behavior explicitly, without conflating it with success, unsupported interpretation or a crash.",model.ub.divide-zero.zero,llvm.udiv
model.byte-poison,Model: direct byte poison construction,veir-model,execution,specified,The accepted byte type must produce a value with every bit marked poison when constructed by llvm.mlir.poison; unsupported interpretation remains open.,model.byte-poison.i16,llvm.mlir.poison
execute.pointer-casts,Null pointer integer round-trip,llvm-execution,execution,specified,"On the explicitly selected 64-bit reference profile, converting integer zero to a pointer and back returns zero. This does not specify non-null pointer provenance.",execute.pointer-casts.null,llvm.inttoptr llvm.ptrtoint
contract.supported-programs,Choose required programs and dialects,project,verification,needs_decision,"Approve concrete end-to-end programs, input languages and excluded dialects. MLIR-wide parity is not an assumed requirement.",,
contract.observations,Approve observable behavior,project,execution,needs_decision,"Choose returned values, final memory, external calls, I/O, termination and divergence; define the supported ABI and data layout.",,
contract.refinement,Approve equality/refinement and failure semantics,project,proof,needs_decision,"Specify the correctness relation and review the .fail branch of Interp.isRefinedBy, which currently allows any target result. Missing interpretation cannot count as completion.",,
contract.trusted-boundary,Approve the trusted boundary,project,proof,needs_decision,"Name the parser, interpreter semantics, solver assumptions, axioms, external compiler and hardware trusted by each guarantee.",,
contract.compatibility-version,Choose the compatibility version policy,project,verification,needs_decision,"Decide whether MLIR compatibility targets a release, pinned commit or a moving range. Current measurements name one exact reference build.",,
proof.pass-correctness,Pass correctness with an axiom audit,transformations,proof,needs_tests,"Connect required pass theorems to the approved relation, compile them and audit transitive axioms. A successful ordinary Lean build does not establish an axiom-free theorem.",,
proof.model-fidelity,Validate the semantic model boundary,veir-model,proof,needs_decision,"Review integer, floating-point, memory, poison, undef, UB and unsupported behavior against the chosen external semantics, then name the fidelity claim.",,
execution.floating-point,Floating-point semantic coverage,llvm-execution,execution,needs_tests,"Cover signed zeros, infinities, NaNs, rounding and fast-math assumptions with an independent suitable oracle; current type tests are insufficient.",,
execution.vector-aggregate,Vector and aggregate execution,llvm-execution,execution,needs_tests,"Observe vector lanes and aggregate components, including poison; parser registration alone is insufficient.",,
execution.memory-model,"Memory, pointers and aliasing",llvm-execution,execution,needs_decision,"Approve allocation lifetime, provenance, alignment, aliasing, atomics and observable final memory before declaring memory conformance.",,
program.sqlite,SQLite end-to-end milestone,programs,regression,needs_decision,"Select a pinned SQLite program, compilation pipeline, workloads, expected observations and success criteria. Structural parse counts are not this milestone.",,
program.llvm-corpus,Pinned LLVM corpus regression,programs,regression,needs_tests,"Import strict registered round-trip results with complete manifests, exact revisions and explicit failures; exclude permissive parses from strict coverage.",,
core.ir-invariants,Core IR and rewrite invariants,core,verification,needs_tests,"Map existing unit tests to SSA, dominance, use lists, region ownership, cloning and mutation obligations; file counts alone do not close these obligations.",,
core.other-dialects,Scope the other VeIR dialects,core,verification,needs_decision,"Choose compatibility and correctness goals for arith, func, cf, machine dialects and VeIR-specific dialects separately.",,
mathieu.MF-S01,Rejection of `i0`,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir rejects direct scalar `i0` operands/results that MLIR accepts. This includes memory-intrinsic lengths, branch-forwarded values, and the scalar result of vector reduction; it is not a recursive check of aggregate element types.",,llvm.mlir.constant llvm.mlir.poison llvm.mlir.undef llvm.mlir.zero llvm.and llvm.or llvm.xor llvm.add llvm.sub llvm.shl llvm.lshr llvm.ashr llvm.intr.ctlz llvm.intr.cttz llvm.va_arg llvm.intr.memset llvm.intr.memcpy llvm.intr.memmove llvm.intr.ctpop llvm.intr.bswap llvm.intr.bitreverse llvm.intr.fshl llvm.intr.fshr llvm.intr.assume llvm.intr.vector.reduce.or llvm.mul llvm.sdiv llvm.udiv llvm.srem llvm.urem llvm.icmp llvm.select llvm.trunc llvm.sext llvm.zext llvm.br llvm.cond_br llvm.switch llvm.alloca llvm.load llvm.store llvm.getelementptr llvm.insertelement llvm.insertvalue llvm.extractvalue llvm.call llvm.call_intrinsic llvm.return llvm.sitofp llvm.uitofp llvm.fptosi llvm.fptoui llvm.freeze llvm.bitcast llvm.inttoptr llvm.ptrtoint llvm.intr.smax llvm.intr.smin llvm.intr.umax llvm.intr.umin llvm.intr.abs llvm.intr.sadd.sat llvm.intr.uadd.sat llvm.intr.ssub.sat llvm.intr.usub.sat llvm.intr.sshl.sat llvm.intr.ushl.sat
mathieu.MF-S02,Missing vector forms,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir restricts these operations to scalar forms accepted alongside vectors in MLIR. For `llvm.select`, this restriction concerns the condition.",,llvm.and llvm.or llvm.xor llvm.add llvm.sub llvm.shl llvm.lshr llvm.ashr llvm.intr.ctlz llvm.intr.cttz llvm.intr.ctpop llvm.intr.bswap llvm.intr.bitreverse llvm.intr.fshl llvm.intr.fshr llvm.mul llvm.sdiv llvm.udiv llvm.srem llvm.urem llvm.icmp llvm.select llvm.trunc llvm.sext llvm.zext llvm.fadd llvm.fsub llvm.fmul llvm.fdiv llvm.frem llvm.fneg llvm.fcmp llvm.sitofp llvm.uitofp llvm.fptosi llvm.fptoui llvm.fpext llvm.intr.fmuladd llvm.intr.fabs llvm.inttoptr llvm.ptrtoint llvm.intr.smax llvm.intr.smin llvm.intr.umax llvm.intr.umin llvm.intr.abs llvm.intr.sadd.sat llvm.intr.uadd.sat llvm.intr.ssub.sat llvm.intr.usub.sat llvm.intr.sshl.sat llvm.intr.ushl.sat
mathieu.MF-S03,Scalable vectors are not represented,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir cannot represent MLIR scalable vectors for these otherwise vector-capable operations.",,llvm.mlir.constant llvm.intr.vector.reduce.or llvm.insertelement llvm.freeze
mathieu.MF-S04,Different floating-point type support,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir accepts scalar float8 arithmetic/conversions rejected by MLIR, while its native float representation lacks f80/f128/ppc_fp128 forms accepted by MLIR.",,llvm.fadd llvm.fsub llvm.fmul llvm.fdiv llvm.frem llvm.fneg llvm.fcmp llvm.sitofp llvm.uitofp llvm.fptosi llvm.fptoui llvm.fpext llvm.intr.fmuladd llvm.intr.fabs
mathieu.MF-S05,Different LLVM-compatible type predicate,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir accepts multidimensional vectors, scalar float8, and arbitrary opaque `!llvm.*` spellings, but rejects modeled LLVM byte/function types. Its recursive array check also differs from MLIR’s outer-type predicate.",,llvm.va_arg llvm.call_intrinsic
mathieu.MF-S06,Missing LLVM-compatible value-type checks,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir accepts non-LLVM value types that MLIR rejects, such as `index`: results of poison/undef/zero/freeze, selected values of select, and bundle operands of assume.",,llvm.mlir.poison llvm.mlir.undef llvm.mlir.zero llvm.intr.assume llvm.select llvm.freeze
mathieu.MF-S07,Properties accepted on operations that declare none,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir accepts and discards supplied `<{...}>` properties; MLIR rejects them on these operations.",,llvm.mlir.poison llvm.mlir.undef llvm.mlir.zero llvm.and llvm.xor llvm.intr.lifetime.start llvm.intr.lifetime.end llvm.intr.vastart llvm.intr.vaend llvm.va_arg llvm.intr.ctpop llvm.intr.bswap llvm.intr.bitreverse llvm.intr.fshl llvm.intr.fshr llvm.intr.vector.reduce.or llvm.srem llvm.urem llvm.sext llvm.unreachable llvm.insertelement llvm.return llvm.sitofp llvm.fptosi llvm.fptoui llvm.freeze llvm.bitcast llvm.ptrtoint llvm.intr.smax llvm.intr.smin llvm.intr.umax llvm.intr.umin llvm.intr.sadd.sat llvm.intr.uadd.sat llvm.intr.ssub.sat llvm.intr.usub.sat llvm.intr.sshl.sat llvm.intr.ushl.sat
mathieu.MF-S08,Unknown property keys rejected,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir rejects unknown `<{...}>` keys that MLIR’s generated property conversion ignores. Memory intrinsics make exceptions for their explicitly tolerated bundle keys.",,llvm.mlir.constant llvm.intr.ctlz llvm.intr.cttz llvm.intr.memset llvm.intr.memcpy llvm.intr.memmove llvm.intr.assume llvm.icmp llvm.br llvm.cond_br llvm.switch llvm.fence llvm.insertvalue llvm.extractvalue llvm.call_intrinsic llvm.comdat llvm.comdat_selector llvm.fcmp llvm.intr.abs
mathieu.MF-S09,Overflow-flag decoding,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir accepts invalid overflow-flag bits, but rejects MLIR’s custom attribute form and non-i32 integer storage.",,llvm.add llvm.sub llvm.shl llvm.mul llvm.trunc
mathieu.MF-S10,Incomplete fast-math flag representation,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir represents only `nnan`, `ninf`, and `nsz`; other MLIR fast-math flags are unsupported or lost.",,llvm.call_intrinsic llvm.fadd llvm.fsub llvm.fmul llvm.fdiv llvm.frem llvm.fneg llvm.fcmp llvm.intr.fmuladd llvm.intr.fabs
mathieu.MF-S11,Fast-math properties ignored entirely,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir ignores malformed `fastmathFlags` rejected by MLIR and drops valid flags.",,llvm.select llvm.fpext
mathieu.MF-S12,"Missing access-group, alias-scope, and TBAA checks",mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir misses metadata element-kind checks performed by MLIR’s AccessGroupOpInterface/AliasAnalysisOpInterface and ODS constraints.",,llvm.intr.memset llvm.intr.memcpy llvm.intr.memmove llvm.load llvm.store llvm.call
mathieu.MF-S13,Missing atomic memory checks,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir discards ordering and misses MLIR’s atomic ordering, type, explicit-alignment, and syncscope rules.",,llvm.load llvm.store
mathieu.MF-S14,Missing dereferenceable metadata checks,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir ignores malformed dereferenceable metadata rejected by MLIR. On load, it also misses DereferenceableOpInterface’s pointer-result restriction.",,llvm.load llvm.inttoptr
mathieu.MF-S15,Overly strict argument/result attribute lengths,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir requires exactly three `arg_attrs` entries and zero `res_attrs` entries; MLIR does not verify these lengths.",,llvm.intr.memset llvm.intr.memcpy llvm.intr.memmove
mathieu.MF-S16,Relaxed shift operand types,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir accepts unequal operand widths and byte-type left operands rejected by MLIR’s operand constraints and type-matching trait.",,llvm.shl llvm.lshr
mathieu.MF-S17,Aggregate verification stops at structs,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir skips the remaining path, bounds, and value/result-type checks once traversal reaches a struct, including opaque structs MLIR cannot index. It also lacks full LLVM-container compatibility checks; insertvalue additionally lacks the primitive-value restriction, and extractvalue can produce non-LLVM results.",,llvm.insertvalue llvm.extractvalue
mathieu.MF-S18,Different handling of oversized aggregate indices,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir rejects large indices that MLIR’s unsigned bounds comparison can wrap, such as 4294967296 for an array of length one. This is a source-observed edge case.",,llvm.insertvalue llvm.extractvalue
mathieu.MF-S19,Symbol resolution and uniqueness ignore scopes,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir uses context-wide lookup instead of MLIR symbol-table scopes. This can resolve unrelated symbols or reject legal repeated names. Its global/comdat/function checks also miss some containing-table cross-kind collisions and symbol visibility constraints.",,llvm.mlir.global llvm.mlir.addressof llvm.func llvm.comdat llvm.comdat_selector
mathieu.MF-S20,Register compatibility used instead of exact type equality,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir can accept register-compatible types where MLIR requires exact equality for forwarded or returned values.",,llvm.br llvm.cond_br llvm.switch llvm.return
mathieu.MF-S21,Missing branch-weight validation,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir misses MLIR’s prohibition on all-zero weights. For switch, it also misses the requirement that nonempty weights match the successor count.",,llvm.cond_br llvm.switch
mathieu.MF-O01,llvm.mlir.constant,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir compares float widths instead of semantics, accepting a bf16 value with an f16 result. Veir misses dense payload/count validation, scalable-splat requirements, nested-array element checks, and general LLVM result-type restrictions. Veir rejects dense integer width changes, float-to-integer dense reinterpretation, struct/array attribute constants, and non-dense ElementsAttr forms accepted by MLIR. Its scalar float-constant result restriction is also narrower.",,llvm.mlir.constant
mathieu.MF-O02,llvm.mlir.zero,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir misses target-extension `HasZeroInit` checks and rejects void/function results accepted by MLIR verification.",,llvm.mlir.zero
mathieu.MF-O03,llvm.mlir.global,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir misses global-type/placement rules, nonnegative address spaces, string initializer type/length, target-extension restrictions, and the array requirement for appending linkage. Veir misses single-block/return-terminator and initializer side-effect checks, plus most additional property constraints, including unit-valued `thread_local_`. Veir accepts unrecognized nonzero common-linkage initializers, but rejects negative floating zero accepted by MLIR.",,llvm.mlir.global
mathieu.MF-O04,llvm.mlir.addressof,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir misses address-space agreement and rejects alias/ifunc targets accepted by MLIR.",,llvm.mlir.addressof
mathieu.MF-O05,llvm.intr.bswap,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir restricts widths to 16, 32, or 64; MLIR verification accepts others, such as i128.",,llvm.intr.bswap
mathieu.MF-O06,llvm.intr.vector.reduce.or,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir requires a scalar result; MLIR’s element-type trait also accepts vector results.",,llvm.intr.vector.reduce.or
mathieu.MF-O07,llvm.icmp,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir accepts non-i64 predicate attributes rejected by MLIR.",,llvm.icmp
mathieu.MF-O08,llvm.trunc,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir requires narrowing, rejecting same-width/widening casts accepted by MLIR; it also accepts byte-to-byte casts rejected by MLIR.",,llvm.trunc
mathieu.MF-O09,llvm.br,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir misses the ODS LLVM-type restriction on forwarded operands.",,llvm.br
mathieu.MF-O10,llvm.cond_br,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir misses the i1 condition check, LLVM-type restriction on forwarded operands, and i32 segment/weight storage checks.",,llvm.cond_br
mathieu.MF-O11,llvm.switch,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir misses the integer selector, case count/type agreement, integer case elements, and i32 case-segment/weight checks.",,llvm.switch
mathieu.MF-O12,llvm.alloca,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir misses integer allocation-size, pointer-result, and target-extension memory-support checks.",,llvm.alloca
mathieu.MF-O13,llvm.load,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir misses pointer-address and loadable-result constraints.",,llvm.load
mathieu.MF-O14,llvm.store,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir misses pointer-address and loadable-value constraints.",,llvm.store
mathieu.MF-O15,llvm.getelementptr,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir misses pointer/integer type constraints, i32 raw indices, valid GEP flag bits, and rejection of bare `inboundsFlag`. Veir misses aggregate traversal and constant/in-bounds struct-index checks.",,llvm.getelementptr
mathieu.MF-O16,llvm.insertelement,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir rejects f80/f128 and non-native pointer-interface vector elements accepted by MLIR.",,llvm.insertelement
mathieu.MF-O17,llvm.call,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir misses direct symbol resolution/signatures, the requirement for a callee symbol or operand, indirect pointer checks, variadic rules, and LLVM operand/result types. Veir misses operand segmentation, bundle metadata, property types/enums, and the debug-location requirement.",,llvm.call
mathieu.MF-O18,llvm.return,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir requires an immediate llvm.func/global parent; MLIR permits other placement, including nested regions under an LLVM function. Veir misses the universal LLVM-type and at-most-one-operand restrictions.",,llvm.return
mathieu.MF-O19,llvm.func,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir misses FunctionOpInterface entry-signature, argument/result attribute, and dialect callback checks, plus LLVM-compatible definition entry types. Veir misses linkage rules, conflicting definition attributes, exception-type consistency, and block-tag uniqueness. Veir permits signature components/multiple results rejected by LLVMFunctionType and leaves most additional property constraints unchecked.",,llvm.func
mathieu.MF-O20,llvm.module_flags,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir misses module placement, ModuleFlagAttrInterface requirements, key/value schemas, and duplicate non-Require keys.",,llvm.module_flags
mathieu.MF-O21,llvm.freeze,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir requires exact type equality; MLIR’s type trait does not compare vector scalability flags.",,llvm.freeze
mathieu.MF-O22,llvm.bitcast,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir enforces equal computed widths, rejecting nonpointer width changes accepted by MLIR. Veir accepts pointer/integer, cross-address-space pointer, and pointer-to-single-element-pointer-vector casts rejected by MLIR; its pointer width is hardcoded to 64. Veir accepts aggregate/unsupported-type pairs when both widths are unknown.",,llvm.bitcast
mathieu.MF-O23,llvm.intr.abs,mathieu-audit,verification,needs_tests,"Audit this source observation against the pinned reference; select explicit positive controls, invalid cases and affected operations before closing it. Veir requires the result type to equal the operand type; MLIR does not.",,llvm.intr.abs
upstream.addressof_function.verification,addressof function · verification,llvm-compat,verification,specified,Both tools accept the original upstream fixture with registered LLVM operations.,upstream.addressof_function.verification.fixture,llvm.func llvm.mlir.addressof llvm.mlir.global llvm.return
upstream.addressof_function.roundtrip,addressof function · roundtrip,llvm-compat,roundtrip,specified,"Preserve all properties and structure of this pinned upstream fixture through strict VeIR parsing/printing, as judged by independent canonical MLIR and stable VeIR reprinting. This is a file-level contract, not complete operation semantics.",upstream.addressof_function.roundtrip.fixture,llvm.func llvm.mlir.addressof llvm.mlir.global llvm.return
upstream.addressof_quoted_global.verification,addressof quoted global · verification,llvm-compat,verification,specified,Both tools accept the original upstream fixture with registered LLVM operations.,upstream.addressof_quoted_global.verification.fixture,llvm.func llvm.mlir.addressof llvm.mlir.constant llvm.mlir.global llvm.return
upstream.addressof_quoted_global.roundtrip,addressof quoted global · roundtrip,llvm-compat,roundtrip,specified,"Preserve all properties and structure of this pinned upstream fixture through strict VeIR parsing/printing, as judged by independent canonical MLIR and stable VeIR reprinting. This is a file-level contract, not complete operation semantics.",upstream.addressof_quoted_global.roundtrip.fixture,llvm.func llvm.mlir.addressof llvm.mlir.constant llvm.mlir.global llvm.return
upstream.alias.verification,alias · verification,llvm-compat,verification,specified,Both tools accept the original upstream fixture with registered LLVM operations.,upstream.alias.verification.fixture,llvm.func llvm.mlir.addressof llvm.mlir.alias llvm.mlir.global llvm.return
upstream.alias.roundtrip,alias · roundtrip,llvm-compat,roundtrip,specified,"Preserve all properties and structure of this pinned upstream fixture through strict VeIR parsing/printing, as judged by independent canonical MLIR and stable VeIR reprinting. This is a file-level contract, not complete operation semantics.",upstream.alias.roundtrip.fixture,llvm.func llvm.mlir.addressof llvm.mlir.alias llvm.mlir.global llvm.return
upstream.assume.verification,assume · verification,llvm-compat,verification,specified,Both tools accept the original upstream fixture with registered LLVM operations.,upstream.assume.verification.fixture,llvm.func llvm.intr.assume llvm.mlir.constant llvm.return
upstream.assume.roundtrip,assume · roundtrip,llvm-compat,roundtrip,specified,"Preserve all properties and structure of this pinned upstream fixture through strict VeIR parsing/printing, as judged by independent canonical MLIR and stable VeIR reprinting. This is a file-level contract, not complete operation semantics.",upstream.assume.roundtrip.fixture,llvm.func llvm.intr.assume llvm.mlir.constant llvm.return
upstream.call.verification,call · verification,llvm-compat,verification,specified,Both tools accept the original upstream fixture with registered LLVM operations.,upstream.call.verification.fixture,llvm.call llvm.func llvm.return
upstream.call.roundtrip,call · roundtrip,llvm-compat,roundtrip,specified,"Preserve all properties and structure of this pinned upstream fixture through strict VeIR parsing/printing, as judged by independent canonical MLIR and stable VeIR reprinting. This is a file-level contract, not complete operation semantics.",upstream.call.roundtrip.fixture,llvm.call llvm.func llvm.return
upstream.call_indirect.verification,call indirect · verification,llvm-compat,verification,specified,Both tools accept the original upstream fixture with registered LLVM operations.,upstream.call_indirect.verification.fixture,llvm.call llvm.func llvm.return
upstream.call_indirect.roundtrip,call indirect · roundtrip,llvm-compat,roundtrip,specified,"Preserve all properties and structure of this pinned upstream fixture through strict VeIR parsing/printing, as judged by independent canonical MLIR and stable VeIR reprinting. This is a file-level contract, not complete operation semantics.",upstream.call_indirect.roundtrip.fixture,llvm.call llvm.func llvm.return
upstream.call_intrinsic.verification,call intrinsic · verification,llvm-compat,verification,specified,Both tools accept the original upstream fixture with registered LLVM operations.,upstream.call_intrinsic.verification.fixture,llvm.call_intrinsic llvm.func llvm.return
upstream.call_intrinsic.roundtrip,call intrinsic · roundtrip,llvm-compat,roundtrip,specified,"Preserve all properties and structure of this pinned upstream fixture through strict VeIR parsing/printing, as judged by independent canonical MLIR and stable VeIR reprinting. This is a file-level contract, not complete operation semantics.",upstream.call_intrinsic.roundtrip.fixture,llvm.call_intrinsic llvm.func llvm.return
